DocumentID,ClusterID 
1,4
2,5
3,5
4,4
5,5
6,6
7,5
8,1
9,7
10,1
11,1
12,1
13,1
14,4
15,4
16,1
17,1
18,6
19,1
20,4
21,7
22,1
23,3
24,4
25,4
26,1
27,4
28,4
29,4
30,7
31,7
32,7
33,1
34,1
35,1
36,6
37,6
38,1
39,7
40,4
41,5
42,1
43,1
44,5
45,1
46,7
47,1
48,5
49,1
50,7
51,4
52,5
53,6
54,5
55,4
56,4
57,1
58,1
59,1
60,5
61,1
62,5
63,1
64,4
65,1
66,1
67,5
68,1
69,5
70,1
71,5
72,4
73,1
74,1
75,7
76,4
77,5
78,1
79,4
80,1
81,4
82,2
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,4
91,4
92,7
93,4
94,1
95,1
96,1
97,4
98,5
99,1
100,1
101,3
102,1
103,5
104,1
105,1
106,5
107,4
108,1
109,1
110,4
111,6
112,1
113,4
114,1
115,1
116,4
117,1
118,1
119,3
120,3
121,4
122,4
123,6
124,5
125,6
126,1
127,5
128,7
129,6
130,5
131,7
132,1
133,3
134,4
135,5
136,4
137,1
138,1
139,5
140,1
141,7
142,1
143,6
144,6
145,6
146,3
147,6
148,7
149,4
150,7
151,7
152,1
153,1
154,5
155,3
156,6
157,7
158,7
159,3
160,6
161,4
162,1
163,3
164,1
165,7
166,1
167,1
168,5
169,7
170,1
171,6
172,6
173,1
174,4
175,4
176,3
177,6
178,4
179,4
180,4
181,1
182,1
183,1
184,3
185,6
186,1
187,3
188,1
189,1
190,7
191,1
192,1
193,1
194,1
195,7
196,4
197,1
198,3
199,1
200,7
201,1
202,1
203,1
204,4
205,4
206,1
207,7
208,3
209,1
210,6
211,4
212,5
213,4
214,3
215,3
216,5
217,4
218,7
219,4
220,7
221,1
222,5
223,4
224,4
225,7
226,1
227,3
228,4
229,7
230,7
231,7
232,4
233,3
234,3
235,7
236,7
237,3
238,3
239,6
240,4
241,4
242,1
243,6
244,1
245,1
246,3
247,3
248,4
249,1
250,4
251,7
252,1
253,4
254,4
255,4
256,4
257,1
258,1
259,1
260,3
261,1
262,7
263,1
264,4
265,3
266,1
267,3
268,7
269,7
270,7
271,6
272,4
273,4
274,3
275,1
276,1
277,1
278,7
279,1
280,1
281,1
282,1
283,4
284,4
285,3
286,6
287,1
288,1
289,1
290,7
291,1
292,4
293,4
294,3
295,2
296,4
297,1
298,3
299,4
300,7
301,6
302,3
303,3
304,6
305,7
306,5
307,1
308,7
309,6
310,4
311,1
312,1
313,7
314,7
315,1
316,1
317,4
318,1
319,3
320,3
321,1
322,1
323,7
324,1
325,1
326,1
327,4
328,7
329,1
330,1
331,3
332,1
333,1
334,1
335,5
336,1
337,1
338,7
339,1
340,1
341,1
342,7
343,1
344,7
345,3
346,1
347,3
348,4
349,1
350,1
351,7
352,1
353,3
354,1
355,1
356,1
357,1
358,4
359,7
360,1
361,3
362,4
363,4
364,1
365,4
366,3
367,1
368,1
369,1
370,1
371,1
372,7
373,1
374,3
375,1
376,1
377,7
378,1
379,7
380,1
381,4
382,3
383,4
384,1
385,1
386,7
387,1
388,4
389,1
390,3
391,7
392,1
393,3
394,3
395,1
396,1
397,4
398,1
399,7
400,4
401,7
402,4
403,1
404,1
405,5
406,1
407,7
408,1
409,7
410,1
411,1
412,1
413,7
414,1
415,3
416,7
417,1
418,1
419,4
420,1
421,7
422,7
423,3
424,1
425,1
426,1
427,7
428,6
429,1
430,1
431,4
432,1
433,1
434,1
435,4
436,1
437,1
438,7
439,6
440,3
441,1
442,1
443,7
444,4
445,6
446,1
447,5
448,4
449,1
450,5
451,1
452,7
453,1
454,1
455,1
456,1
457,3
458,3
459,4
460,7
461,1
462,1
463,3
464,7
465,3
466,1
467,7
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,4
477,1
478,1
479,3
480,3
481,4
482,1
483,7
484,6
485,5
486,3
487,3
488,4
489,7
490,1
491,7
492,1
493,7
494,5
495,7
496,4
497,1
498,6
499,5
500,1
501,3
502,1
503,4
504,1
505,1
506,7
507,4
508,7
509,1
510,5
511,7
512,1
513,1
514,3
515,3
516,1
517,3
518,1
519,1
520,1
521,1
522,1
523,4
524,1
525,1
526,5
527,1
528,1
529,1
530,1
531,1
532,5
533,1
534,5
535,1
536,1
537,7
538,7
539,1
540,1
541,1
542,5
543,3
544,3
545,1
546,5
547,1
548,3
549,1
550,7
551,1
552,1
553,5
554,1
555,1
556,1
557,5
558,7
559,7
560,4
561,1
562,1
563,7
564,1
565,7
566,1
567,1
568,1
569,1
570,1
571,3
572,1
573,5
574,1
575,4
576,5
577,7
578,1
579,1
580,3
581,1
582,1
583,1
584,4
585,3
586,7
587,7
588,5
589,4
590,1
591,4
592,7
593,1
594,7
595,1
596,3
597,7
598,1
599,1
600,7
601,4
602,4
603,7
604,3
605,6
606,1
607,1
608,7
609,1
610,1
611,1
612,3
613,1
614,3
615,4
616,7
617,1
618,7
619,1
620,7
621,1
622,1
623,1
624,3
625,1
626,5
627,4
628,3
629,3
630,4
631,1
632,7
633,1
634,1
635,6
636,1
637,1
638,7
639,1
640,7
641,1
642,1
643,1
644,3
645,1
646,4
647,7
648,4
649,1
650,1
651,3
652,4
653,1
654,1
655,1
656,3
657,1
658,3
659,1
660,7
661,7
662,4
663,7
664,1
665,3
666,3
667,4
668,1
669,1
670,1
671,4
672,1
673,4
674,4
675,1
676,1
677,1
678,3
679,1
680,1
681,7
682,5
683,4
684,6
685,1
686,3
687,1
688,1
689,4
690,7
691,4
692,4
693,3
694,3
695,1
696,1
697,4
698,1
699,1
700,7
701,1
702,1
703,5
704,7
705,3
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,7
714,4
715,1
716,4
717,7
718,1
719,1
720,1
721,3
722,3
723,1
724,5
725,1
726,1
727,3
728,7
729,1
730,3
731,1
732,1
733,1
734,7
735,1
736,1
737,1
738,3
739,1
740,1
741,7
742,1
743,1
744,7
745,4
746,4
747,3
748,1
749,7
750,1
751,7
752,1
753,1
754,7
755,1
756,1
757,1
758,3
759,1
760,4
761,7
762,4
763,7
764,5
765,5
766,6
767,4
768,3
769,1
770,7
771,6
772,3
773,4
774,1
775,1
776,1
777,7
778,1
779,1
