DocumentID,ClusterID
1,2
2,3
3,4
4,5
5,6
6,7
7,1
8,2
9,3
10,4
11,5
12,6
13,7
14,1
15,2
16,3
17,4
18,5
19,6
20,7
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,1
29,2
30,3
31,4
32,5
33,6
34,7
35,1
36,2
37,3
38,4
39,5
40,6
41,7
42,1
43,2
44,3
45,4
46,5
47,6
48,7
49,1
50,2
51,3
52,4
53,5
54,6
55,7
56,1
57,2
58,3
59,4
60,5
61,6
62,7
63,1
64,2
65,3
66,4
67,5
68,6
69,7
70,1
71,2
72,3
73,4
74,5
75,6
76,7
77,1
78,2
79,3
80,4
81,5
82,6
83,7
84,1
85,2
86,3
87,4
88,5
89,6
90,7
91,1
92,2
93,3
94,4
95,5
96,6
97,7
98,1
99,2
100,3
101,4
102,5
103,6
104,7
105,1
106,2
107,3
108,4
109,5
110,6
111,7
112,1
113,2
114,3
115,4
116,5
117,6
118,7
119,1
120,2
121,3
122,4
123,5
124,6
125,7
126,1
127,2
128,3
129,4
130,5
131,6
132,7
133,1
134,2
135,3
136,4
137,5
138,6
139,7
140,1
141,2
142,3
143,4
144,5
145,6
146,7
147,1
148,2
149,3
150,4
151,5
152,6
153,7
154,1
155,2
156,3
157,4
158,5
159,6
160,7
161,1
162,2
163,3
164,4
165,5
166,6
167,7
168,1
169,2
170,3
171,4
172,5
173,6
174,7
175,1
176,2
177,3
178,4
179,5
180,6
181,7
182,1
183,2
184,3
185,4
186,5
187,6
188,7
189,1
190,2
191,3
192,4
193,5
194,6
195,7
196,1
197,2
198,3
199,4
200,5
201,6
202,7
203,1
204,2
205,3
206,4
207,5
208,6
209,7
210,1
211,2
212,3
213,4
214,5
215,6
216,7
217,1
218,2
219,3
220,4
221,5
222,6
223,7
224,1
225,2
226,3
227,4
228,5
229,6
230,7
231,1
232,2
233,3
234,4
235,5
236,6
237,7
238,1
239,2
240,3
241,4
242,5
243,6
244,7
245,1
246,2
247,3
248,4
249,5
250,6
251,7
252,1
253,2
254,3
255,4
256,5
257,6
258,7
259,1
260,2
261,3
262,4
263,5
264,6
265,7
266,1
267,2
268,3
269,4
270,5
271,6
272,7
273,1
274,2
275,3
276,4
277,5
278,6
279,7
280,1
281,2
282,3
283,4
284,5
285,6
286,7
287,1
288,2
289,3
290,4
291,5
292,6
293,7
294,1
295,2
296,3
297,4
298,5
299,6
300,7
301,1
302,2
303,3
304,4
305,5
306,6
307,7
308,1
309,2
310,3
311,4
312,5
313,6
314,7
315,1
316,2
317,3
318,4
319,5
320,6
321,7
322,1
323,2
324,3
325,4
326,5
327,6
328,7
329,1
330,2
331,3
332,4
333,5
334,6
335,7
336,1
337,2
338,3
339,4
340,5
341,6
342,7
343,1
344,2
345,3
346,4
347,5
348,6
349,7
350,1
351,2
352,3
353,4
354,5
355,6
356,7
357,1
358,2
359,3
360,4
361,5
362,6
363,7
364,1
365,2
366,3
367,4
368,5
369,6
370,7
371,1
372,2
373,3
374,4
375,5
376,6
377,7
378,1
379,2
380,3
381,4
382,5
383,6
384,7
385,1
386,2
387,3
388,4
389,5
390,6
391,7
392,1
393,2
394,3
395,4
396,5
397,6
398,7
399,1
400,2
401,3
402,4
403,5
404,6
405,7
406,1
407,2
408,3
409,4
410,5
411,6
412,7
413,1
414,2
415,3
416,4
417,5
418,6
419,7
420,1
421,2
422,3
423,4
424,5
425,6
426,7
427,1
428,2
429,3
430,4
431,5
432,6
433,7
434,1
435,2
436,3
437,4
438,5
439,6
440,7
441,1
442,2
443,3
444,4
445,5
446,6
447,7
448,1
449,2
450,3
451,4
452,5
453,6
454,7
455,1
456,2
457,3
458,4
459,5
460,6
461,7
462,1
463,2
464,3
465,4
466,5
467,6
468,7
469,1
470,2
471,3
472,4
473,5
474,6
475,7
476,1
477,2
478,3
479,4
480,5
481,6
482,7
483,1
484,2
485,3
486,4
487,5
488,6
489,7
490,1
491,2
492,3
493,4
494,5
495,6
496,7
497,1
498,2
499,3
500,4
501,5
502,6
503,7
504,1
505,2
506,3
507,4
508,5
509,6
510,7
511,1
512,2
513,3
514,4
515,5
516,6
517,7
518,1
519,2
520,3
521,4
522,5
523,6
524,7
525,1
526,2
527,3
528,4
529,5
530,6
531,7
532,1
533,2
534,3
535,4
536,5
537,6
538,7
539,1
540,2
541,3
542,4
543,5
544,6
545,7
546,1
547,2
548,3
549,4
550,5
551,6
552,7
553,1
554,2
555,3
556,4
557,5
558,6
559,7
560,1
561,2
562,3
563,4
564,5
565,6
566,7
567,1
568,2
569,3
570,4
571,5
572,6
573,7
574,1
575,2
576,3
577,4
578,5
579,6
580,7
581,1
582,2
583,3
584,4
585,5
586,6
587,7
588,1
589,2
590,3
591,4
592,5
593,6
594,7
595,1
596,2
597,3
598,4
599,5
600,6
601,7
602,1
603,2
604,3
605,4
606,5
607,6
608,7
609,1
610,2
611,3
612,4
613,5
614,6
615,7
616,1
617,2
618,3
619,4
620,5
621,6
622,7
623,1
624,2
625,3
626,4
627,5
628,6
629,7
630,1
631,2
632,3
633,4
634,5
635,6
636,7
637,1
638,2
639,3
640,4
641,5
642,6
643,7
644,1
645,2
646,3
647,4
648,5
649,6
650,7
651,1
652,2
653,3
654,4
655,5
656,6
657,7
658,1
659,2
660,3
661,4
662,5
663,6
664,7
665,1
666,2
667,3
668,4
669,5
670,6
671,7
672,1
673,2
674,3
675,4
676,5
677,6
678,7
679,1
680,2
681,3
682,4
683,5
684,6
685,7
686,1
687,2
688,3
689,4
690,5
691,6
692,7
693,1
694,2
695,3
696,4
697,5
698,6
699,7
700,1
701,2
702,3
703,4
704,5
705,6
706,7
707,1
708,2
709,3
710,4
711,5
712,6
713,7
714,1
715,2
716,3
717,4
718,5
719,6
720,7
721,1
722,2
723,3
724,4
725,5
726,6
727,7
728,1
729,2
730,3
731,4
732,5
733,6
734,7
735,1
736,2
737,3
738,4
739,5
740,6
741,7
742,1
743,2
744,3
745,4
746,5
747,6
748,7
749,1
750,2
751,3
752,4
753,5
754,6
755,7
756,1
757,2
758,3
759,4
760,5
761,6
762,7
763,1
764,2
765,3
766,4
767,5
768,6
769,7
770,1
771,2
772,3
773,4
774,5
775,6
776,7
777,1
778,2
779,3
780,4
781,5
782,6
783,7
784,1
785,2
786,3
787,4
788,5
789,6
790,7
791,1
792,2
793,3
794,4
795,5
796,6
797,7
798,1
799,2
800,3
801,4
802,5
803,6
804,7
805,1
806,2
807,3
808,4
809,5
810,6
811,7
812,1
813,2
814,3
815,4
816,5
817,6
818,7
819,1
820,2
821,3
822,4
823,5
824,6
825,7
826,1
827,2
828,3
829,4
830,5
831,6
832,7
833,1
834,2
835,3
836,4
837,5
838,6
839,7
840,1
841,2
842,3
843,4
844,5
845,6
846,7
847,1
848,2
849,3
850,4
851,5
852,6
853,7
854,1
855,2
856,3
857,4
858,5
859,6
860,7
861,1
862,2
863,3
864,4
865,5
866,6
867,7
868,1
869,2
870,3
871,4
872,5
873,6
874,7
875,1
876,2
877,3
878,4
879,5
880,6
881,7
882,1
883,2
884,3
885,4
886,5
887,6
888,7
889,1
890,2
891,3
892,4
893,5
894,6
895,7
896,1
897,2
898,3
899,4
900,5
901,6
902,7
903,1
904,2
905,3
906,4
907,5
908,6
909,7
910,1
911,2
912,3
913,4
914,5
915,6
916,7
917,1
918,2
919,3
920,4
921,5
922,6
923,7
924,1
925,2
926,3
927,4
928,5
929,6
930,7
931,1
932,2
933,3
934,4
935,5
936,6
937,7
938,1
939,2
940,3
941,4
942,5
943,6
944,7
945,1
946,2
